year,total,male,female
1985,0.0094,0.0097,0.0092
1986,0.0132,0.0131,0.0132
1987,0.0175,0.017,0.0181
1988,0.0225,0.0212,0.0237
1989,0.0277,0.0256,0.0297
1990,0.0327,0.0297,0.0355
1991,0.0368,0.033,0.0405
1992,0.0403,0.0356,0.0448
1993,0.0433,0.0378,0.0486
1994,0.045,0.038,0.0511
1995,0.0472,0.0393,0.0539
1996,0.0484,0.04,0.0558
1997,0.0486,0.0398,0.0563
1998,0.0487,0.0399,0.0565
1999,0.0481,0.0394,0.0557
2000,0.047,0.0385,0.0543
2001,0.0456,0.0375,0.0526
2002,0.0439,0.0361,0.0507
2003,0.0418,0.0342,0.0485
2004,0.04,0.0325,0.0465
2005,0.0386,0.0313,0.0451
2006,0.0378,0.0305,0.0442
2007,0.0372,0.0299,0.0435
2008,0.0367,0.0295,0.0431
2009,0.0362,0.0291,0.0426
2010,0.0358,0.0287,0.0422
2011,0.0354,0.0282,0.0417
2012,0.035,0.0279,0.0414
2013,0.0346,0.0274,0.0411
2014,0.0341,0.0269,0.0406
2015,0.0335,0.0263,0.0401
2016,0.0328,0.0256,0.0393
2017,0.032,0.0248,0.0386
2018,0.0312,0.0241,0.0377
2019,0.0303,0.0233,0.0368
2020,0.0295,0.0225,0.0358
2021,0.0286,0.0217,0.035
2022,0.0278,0.021,0.034
2023,0.0269,0.0202,0.0331
2024,0.026,0.0194,0.0321
2025,0.0252,0.0187,0.0312
2026,0.0243,0.0179,0.0303
2027,0.0235,0.0173,0.0294
2028,0.0228,0.0166,0.0285
2029,0.022,0.016,0.0277
2030,0.0213,0.0153,0.0269
